specimenID,platform,libraryPrep,libraryPreparationMethod,isStranded,readStrandOrigin,runType,readLength,assay,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryType,sampleBarcode,totalReads,validBarcodeReads,numberCells,medianGenes,medianUMIs,libraryID,referenceSet,libraryVersion,DV200
R2081705.52,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155316,,,
R2081705.53,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155330,,,
R2081705.54,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155255,,,
R2081705.55,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155293,,,
R2081705.56,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155304,,,
R2081705.57,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155284,,,
R2081705.58,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155317,,,
R2081705.59,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155300,,,
R2081705.6,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155264,,,
R2081705.60,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155303,,,
R2081705.61,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155302,,,
R2081705.62,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155297,,,
R2081705.63,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155327,,,
R2081705.64,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155251,,,
R2081705.65,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155259,,,
R2081705.66,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155312,,,
R2081705.67,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155336,,,
R2081705.68,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155342,,,
R2081705.69,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155256,,,
R2081705.7,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155295,,,
R2081705.70,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155279,,,
R2081705.71,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155324,,,
R2081705.72,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155282,,,
R2081705.73,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155329,,,
R2081705.74,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155285,,,
R2081705.75,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155334,,,
R2081705.76,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155318,,,
R2081705.77,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155257,,,
R2081705.78,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155305,,,
R2081705.79,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155253,,,
R2081705.8,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155254,,,
R2081705.80,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155280,,,
R2081705.81,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155298,,,
R2081705.82,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155313,,,
R2081705.83,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155273,,,
R2081705.84,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155269,,,
R2081705.85,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155260,,,
R2081705.86,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155314,,,
R2081705.87,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155290,,,
R2081705.88,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155283,,,
R2081705.89,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155308,,,
R2081705.9,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155335,,,
R2081705.90,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155309,,,
R2081705.91,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155310,,,
R2081705.92,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155292,,,
R2081705.93,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155296,,,
R2081705.94,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-155258,,,
R2294544,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154121,,,
R2294544.1,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154192,,,
R2294544.10,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154128,,,
R2294544.11,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154129,,,
R2294544.12,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154137,,,
R2294544.13,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154138,,,
R2294544.14,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154140,,,
R2294544.15,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154141,,,
R2294544.16,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154156,,,
R2294544.17,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154146,,,
R2294544.18,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154166,,,
R2294544.19,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154159,,,
R2294544.2,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154098,,,
R2294544.20,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154179,,,
R2294544.21,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154174,,,
R2294544.22,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154187,,,
R2294544.23,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154154,,,
R2294544.24,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154102,,,
R2294544.25,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154158,,,
R2294544.26,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154181,,,
R2294544.27,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154123,,,
R2294544.28,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154165,,,
R2294544.29,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154149,,,
R2294544.3,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154099,,,
R2294544.30,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154152,,,
R2294544.31,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154186,,,
R2294544.32,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154111,,,
R2294544.33,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154136,,,
R2294544.34,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154157,,,
R2294544.35,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154190,,,
R2294544.36,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154143,,,
R2294544.37,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154155,,,
R2294544.38,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154150,,,
R2294544.39,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154116,,,
R2294544.4,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154104,,,
R2294544.40,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154142,,,
R2294544.41,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154189,,,
R2294544.42,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154118,,,
R2294544.43,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154112,,,
R2294544.44,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154148,,,
R2294544.45,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154168,,,
R2294544.46,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154191,,,
R2294544.47,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154125,,,
R2294544.48,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154107,,,
R2294544.49,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154108,,,
R2294544.5,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154105,,,
R2294544.50,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154163,,,
R2294544.51,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154184,,,
R2294544.52,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154153,,,
R2294544.53,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154122,,,
R2294544.54,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154188,,,
R2294544.55,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154109,,,
R2294544.56,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154132,,,
R2294544.57,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154134,,,
R2294544.58,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154139,,,
R2294544.59,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154185,,,
R2294544.6,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154120,,,
R2294544.60,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154147,,,
R2294544.61,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154126,,,
R2294544.62,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154115,,,
R2294544.63,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154183,,,
R2294544.64,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154161,,,
R2294544.65,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154160,,,
R2294544.66,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154106,,,
R2294544.67,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154133,,,
R2294544.68,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154167,,,
R2294544.69,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154100,,,
R2294544.7,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154110,,,
R2294544.70,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154130,,,
R2294544.71,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154103,,,
R2294544.72,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154151,,,
R2294544.73,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154182,,,
R2294544.74,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154164,,,
R2294544.75,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154101,,,
R2294544.76,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154162,,,
R2294544.77,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154145,,,
R2294544.78,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154144,,,
R2294544.79,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154135,,,
R2294544.8,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154113,,,
R2294544.80,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154131,,,
R2294544.81,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154119,,,
R2294544.82,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154124,,,
R2294544.83,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154117,,,
R2294544.9,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-154127,,,
R2830542,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101325,,,
R2830542.1,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101301,,,
R2830542.10,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124234,,,
R2830542.100,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124286,,,
R2830542.101,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101351,,,
R2830542.102,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101273,,,
R2830542.103,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124244,,,
R2830542.104,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101335,,,
R2830542.105,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124247,,,
R2830542.106,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101350,,,
R2830542.107,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101337,,,
R2830542.108,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101331,,,
R2830542.109,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101281,,,
R2830542.11,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101278,,,
R2830542.110,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101285,,,
R2830542.111,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101310,,,
R2830542.112,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101338,,,
R2830542.113,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124197,,,
R2830542.114,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124245,,,
R2830542.115,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101356,,,
R2830542.116,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101294,,,
R2830542.117,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101293,,,
R2830542.118,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124226,,,
R2830542.119,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101303,,,
R2830542.12,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124249,,,
R2830542.120,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101317,,,
R2830542.121,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101288,,,
R2830542.122,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124283,,,
R2830542.123,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101358,,,
R2830542.124,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124203,,,
R2830542.125,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124200,,,
R2830542.126,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124204,,,
R2830542.127,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101326,,,
R2830542.128,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124241,,,
R2830542.129,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124264,,,
R2830542.13,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124232,,,
R2830542.130,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124223,,,
R2830542.131,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101320,,,
R2830542.132,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101307,,,
R2830542.133,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101359,,,
R2830542.134,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124272,,,
R2830542.135,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124201,,,
R2830542.136,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101319,,,
R2830542.137,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124195,,,
R2830542.138,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124205,,,
R2830542.139,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124215,,,
R2830542.14,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101272,,,
R2830542.140,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124231,,,
R2830542.141,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101341,,,
R2830542.142,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101353,,,
R2830542.143,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101305,,,
R2830542.144,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124260,,,
R2830542.145,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101308,,,
R2830542.146,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124202,,,
R2830542.147,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124279,,,
R2830542.148,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101279,,,
R2830542.149,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101340,,,
R2830542.15,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101322,,,
R2830542.150,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124208,,,
R2830542.151,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101357,,,
R2830542.152,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101328,,,
R2830542.153,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101332,,,
R2830542.154,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124273,,,
R2830542.155,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101349,,,
R2830542.156,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101314,,,
R2830542.157,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101330,,,
R2830542.158,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124277,,,
R2830542.159,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124275,,,
R2830542.16,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124214,,,
R2830542.160,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124262,,,
R2830542.161,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124229,,,
R2830542.162,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101270,,,
R2830542.163,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124284,,,
R2830542.164,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101298,,,
R2830542.165,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124246,,,
R2830542.166,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124276,,,
R2830542.167,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101360,,,
R2830542.168,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101339,,,
R2830542.169,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124259,,,
R2830542.17,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124271,,,
R2830542.170,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101345,,,
R2830542.18,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101290,,,
R2830542.19,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124210,,,
R2830542.2,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124218,,,
R2830542.20,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101277,,,
R2830542.21,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101348,,,
R2830542.22,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124287,,,
R2830542.23,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-124211,,,
R2830542.24,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101344,,,
R2830542.25,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101295,,,
R2830542.26,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101346,,,
R2830542.27,HiSeq2000,,Smart-seq2,,,singleEnd,40,snrnaSeq,,,,,,,,,,,,D17-101269,,,
